trial_number,alpha,min_df,max_df,norm,use_idf,smooth_idf,sublinear_tf,accuracy_train,accuracy_test,accuracy_mean
100,0.1753483273365734,1,0.8661712334544742,,True,False,True,0.8368562526032124,0.6728699360341152,0.7548630943186638
101,0.2093725393405563,1,0.8638829114477796,,True,False,True,0.8366764460204706,0.6739275053304904,0.7553019756754805
102,0.434360655529258,251,0.8563049771157317,,True,False,True,0.7641438361620626,0.7333731343283582,0.7487584852452104
103,0.08158205537528708,1,0.8018594697114427,,True,False,True,0.8373046310437203,0.6704477611940298,0.7538761961188751
104,0.1899401282920335,201,0.8868474440303576,,True,False,True,0.7675419529726125,0.7362388059701492,0.7518903794713809
105,0.27501955934381583,401,0.9465481953257504,,True,False,True,0.7562573828810477,0.7252537313432836,0.7407555571121657
106,0.3149022895633275,201,0.899853974814574,,True,False,True,0.7675191926456831,0.7361535181236674,0.7518363553846752
107,0.4523482518122091,1,0.8568523520399606,,True,False,True,0.8357501007144467,0.6785330490405117,0.7571415748774792
108,0.46709642320214195,301,0.8389203091279682,,True,False,True,0.7620726464114931,0.7313091684434968,0.746690907427495
109,0.3654792210820383,501,0.7999837158909101,,True,False,True,0.7477905412633347,0.7168614072494669,0.7323259742564008
110,0.6325625270474816,1801,0.9608236762496953,,True,False,True,0.41573102756047986,0.40438379530916846,0.41005741143482416
111,0.13777265585053136,51,0.8517732113293155,,True,False,True,0.7707989557562005,0.7348912579957356,0.7528451068759681
112,0.21594648395249275,1,0.8659656708676453,,True,False,True,0.8366582377589271,0.6739786780383795,0.7553184578986534
113,0.20972105090268275,151,0.9148612066693462,,True,False,True,0.7695084452193072,0.7369893390191897,0.7532488921192484
114,0.4677559285191808,201,0.9069737969984554,,True,False,True,0.7675123645476044,0.7361535181236674,0.7518329413356359
115,0.7962237212126997,1,0.887248858326077,,True,False,True,0.8345233190929554,0.6844179104477612,0.7594706147703583
116,0.8914166052171937,351,0.9355224527794337,,True,False,True,0.759468865010777,0.7285799573560767,0.7440244111834269
117,0.7430916133284604,101,0.83453335264869,l1,True,False,True,0.5653392085323914,0.5407761194029851,0.5530576639676883
118,0.8443642380110594,201,0.8800702262169405,,True,False,True,0.767491880253368,0.7361705756929637,0.7518312279731658
119,0.3586989907053433,1,0.9685405239717472,,True,False,True,0.8361575105664818,0.6769808102345416,0.7565691604005117
120,0.3598100751976343,301,0.9763701777579554,,True,False,True,0.7620908546730365,0.7313091684434968,0.7467000115582667
121,0.5150016769713736,1,0.8096024664403958,,True,False,True,0.8354860809220663,0.6798294243070363,0.7576577526145514
122,0.6090348477022118,101,0.8020195277982465,,True,False,True,0.7709400697831623,0.7375351812366737,0.754237625509918
123,0.49573697815758666,201,0.9040245066515181,,True,False,True,0.7675123645476044,0.736136460554371,0.7518244125509876
124,1.0629867104906872,51,0.943757036246133,,True,False,True,0.7708171640177439,0.7347889125799574,0.7528030382988506
125,0.6775388482968078,2801,0.9676464942769961,,True,False,True,0.3459865577509155,0.337637526652452,0.34181204220168376
126,0.3704604086239491,1551,0.8247450919390177,,True,False,True,0.4426655984486561,0.43142004264392325,0.4370428205462897
127,0.720543547242577,151,0.8869907384955557,,True,False,True,0.769510721252,0.7369722814498934,0.7532415013509467
128,0.2903637032857781,1,0.9272380172848044,,True,False,True,0.8363851138357752,0.6753603411513859,0.7558727274935806
129,0.3129351679405852,101,0.9194984192280385,,True,False,True,0.7709924185350998,0.7375522388059701,0.754272328670535
130,1.106983393087909,251,0.9476807388917053,,True,False,True,0.7641461121947556,0.733321961620469,0.7487340369076123
131,0.2494924665094465,1,0.9301013842919523,,True,False,True,0.8365467121569734,0.6746780383795309,0.7556123752682522
132,0.4245203331042967,1,0.9314790961054581,,True,False,True,0.8358502461529358,0.6783454157782516,0.7570978309655937
133,0.5191787431630608,101,0.8509756284827995,,True,False,True,0.7709560020120129,0.7375351812366737,0.7542455916243433
134,0.4494848876398581,151,0.9816552494375744,,True,False,True,0.7695016171212283,0.7370063965884861,0.7532540068548572
135,0.8905507962712272,1,0.904261935171918,,True,False,True,0.8342888877255833,0.6855095948827292,0.7598992413041563
136,0.8478647616914176,351,0.78809926124555,,True,False,True,0.7594870732723205,0.7285970149253731,0.7440420440988468
137,0.5890972271509105,101,0.8967085720923796,,True,False,True,0.7709468978812412,0.7375351812366737,0.7542410395589574
138,0.9255678714261231,251,0.8110786496751482,,False,False,True,0.7693809873885028,0.7370234541577825,0.7532022207731426
139,1.9923390288823677,1,0.881552860064839,l1,True,False,True,0.4870778243858695,0.46611513859275056,0.47659648148931
140,0.6983174771356906,101,0.9122193951054839,,True,False,True,0.7709468978812412,0.737501066098081,0.754223981989661
141,1.1075621701765896,1,0.9441975115193643,,True,False,True,0.8335469010676869,0.6884264392324094,0.7609866701500482
